,종목,시가총액,티커
0,AJ네트웍스,320732720750,095570
1,AK홀딩스,162945000300,006840
2,BGF,307729483065,027410
3,BGF리테일,2964189879000,282330
4,BNK금융지주,2011020467820,138930
5,BYC,236416777500,001460
6,BYC우,30153900000,001465
7,CJ,2024883661200,001040
8,CJ CGV,667935198000,079160
9,CJ4우(전환),270919419200,00104K
10,CJ대한통운,1793050238400,000120
11,CJ씨푸드,93240355935,011150
12,CJ씨푸드1우,5060000000,011155
13,CJ우,105552414100,001045
14,CJ제일제당,5991566028000,097950
15,CJ제일제당 우,221017594500,097955
16,CS홀딩스,60841201400,000590
17,DB,147661666822,012030
18,DB금융투자,184854024095,016610
19,DB손해보험,3837360000000,005830
20,DB하이텍,1751524296600,000990
21,DB하이텍1우,9670407600,000995
22,DGB금융지주,1184020831000,139130
23,DI동일,352842126000,001530
24,DL,1230110390800,000210
25,DL건설,329696595800,001880
26,DL우,57496521500,000215
27,DL이앤씨,1371688935350,375500
28,DL이앤씨2우(전환),58289847600,37550L
29,DL이앤씨우,49570603250,37550K
30,DN오토모티브,599640300000,007340
31,DRB동일,81414050000,004840
32,DSR,75200000000,155660
33,DSR제강,59976000000,069730
34,E1,293608000000,017940
35,ESR켄달스퀘어리츠,958900500000,365550
36,F&F,5324683425000,383220
37,F&F홀딩스,549556856350,007700
38,GKL,927835050000,114090
39,GS,4092922400900,078930
40,GS건설,1964095195500,006360
41,GS글로벌,222841162800,001250
42,GS리테일,2576060881200,007070
43,GS우,61933462200,078935
44,HDC,342320061330,012630
45,HDC랩스,206882079970,039570
46,HDC현대EP,122177000000,089470
47,HDC현대산업개발,692026965000,294870
48,HD현대,4581598930000,267250
49,HJ중공업,336011723835,097230
50,HL D&I,113765096005,014790
51,HLB글로벌,318600155840,003580
52,HL만도,1974546896000,204320
53,HL홀딩스,317303721000,060980
54,HMM,8704903028800,011200
55,HSD엔진,507246917460,082740
56,IHQ,85678833222,003560
57,JB금융지주,1414337178920,175330
58,JW생명과학,182097371000,234080
59,JW중외제약,392552033700,001060
60,JW중외제약2우B,6679962300,001067
61,JW중외제약우,6340904500,001065
62,JW홀딩스,195484059150,096760
63,KB금융,18216364379400,105560
64,KB스타리츠,414277354225,432320
65,KCC,2177185395000,002380
66,KCC글라스,645208684800,344820
67,KCTC,117600000000,009070
68,KC그린홀딩스,66071016100,009440
69,KC코트렐,50601311000,119650
70,KEC,366936537435,092220
71,KG스틸,810072065700,016380
72,KG케미칼,298121064000,001390
73,KH 필룩스,154022753024,033180
74,KISCO홀딩스,198160655000,001940
75,KPX케미칼,234256000000,025000
76,KPX홀딩스,222638844200,092230
77,KR모터스,57683079000,000040
78,KSS해운,205695190800,044450
79,KT,8969190604800,030200
80,KT&G,11944447239000,033780
81,KTcs,91559325000,058850
82,KTis,85786930000,058860
83,LF,432752000000,093050
84,LG,12348127950500,003550
85,LG디스플레이,4884184305000,034220
86,LG생활건강,9074172457000,051900
87,LG생활건강우,641457433500,051905
88,LG에너지솔루션,113022000000000,373220
89,LG우,181901524000,003555
90,LG유플러스,4562588722450,032640
91,LG이노텍,6721458388000,011070
92,LG전자,13059095557200,066570
93,LG전자우,659942092800,066575
94,LG헬로비전,325664067325,037560
95,LG화학,41720074713000,051910
96,LG화학우,2087509200000,051915
97,LIG넥스원,2074600000000,079550
98,LS,1919120000000,006260
99,LS ELECTRIC,1453500000000,010120
100,LS네트웍스,208039962240,000680
101,LS전선아시아,220192880010,229640
102,LX인터내셔널,1674432000000,001120
103,LX하우시스,283826755500,108670
104,LX하우시스우,16362430500,108675
105,LX홀딩스,630078499400,383800
106,LX홀딩스1우,15165699750,38380K
107,MH에탄올,56076797600,023150
108,NAVER,26575951770000,035420
109,NHN,761763737700,181710
110,NH올원리츠,155929000000,400760
111,NH투자증권,2958460015320,005940
112,NH투자증권우,169272582960,005945
113,NH프라임리츠,79398300000,338100
114,NICE,465952290000,034310
115,NI스틸,106535435825,008260
116,NPC,257774400000,004250
117,NPC우,18321600000,004255
118,OCI,2215606565900,010060
119,PI첨단소재,976430206500,178920
120,POSCO홀딩스,20001095895000,005490
121,S-Oil,9558279040800,010950
122,S-Oil우,229652031700,010955
123,SBS,575868962100,034120
124,SGC에너지,468196427600,005090
125,SG글로벌,46537888005,001380
126,SG세계물산,114977377280,004060
127,SHD,49809998000,001770
128,SH에너지화학,102354165330,002360
129,SIMPAC,300321478440,009160
130,SJM,52744555240,123700
131,SJM홀딩스,58018621080,025530
132,SK,14978164458000,034730
133,SKC,3506604394800,011790
134,SK가스,1038402450000,018670
135,SK네트웍스,962968070360,001740
136,SK네트웍스우,7137094400,001745
137,SK디스커버리,569231864500,006120
138,SK디스커버리우,37561280750,006125
139,SK디앤디,492621640800,210980
140,SK렌터카,321070853600,068400
141,SK리츠,933631875250,395400
142,SK바이오사이언스,5597556953400,302440
143,SK바이오팜,4166264900000,326030
144,SK스퀘어,5396987833650,402340
145,SK아이이테크놀로지,3643306951200,361610
146,SK우,97375220000,03473K
147,SK이노베이션,14563326330000,096770
148,SK이노베이션우,117227201400,096775
149,SK증권,308601381663,001510
150,SK증권우,11189790040,001515
151,SK케미칼,1411424478000,285130
152,SK케미칼우,82290188100,28513K
153,SK텔레콤,10668115770000,017670
154,SK하이닉스,68432222310000,000660
155,SNT모티브,600279732800,064960
156,SNT에너지,145254857850,100840
157,SNT중공업,308252501190,003570
158,SNT홀딩스,227439209700,036530
159,SPC삼립,669611098400,005610
160,STX,124217110360,011810
161,STX엔진,295664416400,077970
162,STX중공업,108925347840,071970
163,SUN&L,44317081335,002820
164,TBH글로벌,34205183160,084870
165,TCC스틸,205453917330,002710
166,TKG휴켐스,827791407000,069260
167,TYM,319181099965,002900
168,WISCOM,42071072310,024070
169,YG PLUS,260377728050,037270
170,가온전선,64485378500,000500
171,강남제비스코,135850000000,000860
172,강원랜드,5102480925000,035250
173,갤럭시아에스엠,49313862760,011420
174,경농,173750917500,002100
175,경동나비엔,492418409600,009450
176,경동도시가스,121445363600,267290
177,경동인베스트,69413425050,012320
178,경방,296084916000,000050
179,경보제약,119773368600,214390
180,경인양행,191435279000,012610
181,경인전자,40055323500,009140
182,계룡건설,154504691100,013580
183,계양전기,86227000000,012200
184,계양전기우,7098000000,012205
185,고려산업,140658357000,002140
186,고려아연,12076800064000,010130
187,고려제강,409400000000,002240
188,광동제약,297750433680,009290
189,광명전기,86458541925,017040
190,광전자,118784714150,017900
191,광주신세계,253600000000,037710
192,교보증권,362058457600,030610
193,교촌에프앤비,242080812600,339770
194,국도화학,402324004400,007690
195,국동,56240526790,005320
196,국보,69140658509,001140
197,국제약품,81790353450,002720
198,그린케미칼,274800000000,083420
199,극동유화,123089052600,014530
200,금강공업,148699839990,014280
201,금강공업우,7019512500,014285
202,금비,55100000000,008870
203,금양,835920532800,001570
204,금호건설,269022171600,002990
205,금호건설우,5859933300,002995
206,금호석유,3957432120000,011780
207,금호석유우,263043282000,011785
208,금호에이치티,198979870000,214330
209,금호전기,28380816730,001210
210,금호타이어,901997301180,073240
211,기신정기,97528000000,092440
212,기아,27645780265400,000270
213,기업은행,7383461823040,024110
214,까뮤이앤씨,77661921600,013700
215,깨끗한나라,108184213165,004540
216,깨끗한나라우,6481032000,004545
217,남광토건,83153458440,001260
218,남선알미늄,220725243900,008350
219,남선알미우,6357928500,008355
220,남성,65906131200,004270
221,남양유업,265320000000,003920
222,남양유업우,34332372000,003925
223,남해화학,451580682870,025860
224,넥센,206144311450,005720
225,넥센우,10333722000,005725
226,넥센타이어,715905538410,002350
227,넥센타이어1우B,18362500000,002355
228,넷마블,3812037813700,251270
229,노루페인트,155600000000,090350
230,노루페인트우,7433172300,090355
231,노루홀딩스,146867218550,000320
232,노루홀딩스우,5577501100,000325
233,녹십자,1384854753000,006280
234,녹십자홀딩스,728937255000,005250
235,녹십자홀딩스2우,33120508500,005257
236,농심,1745718254000,004370
237,농심홀딩스,279658737000,072710
238,다스코,93333030780,058730
239,다올투자증권,214115026600,030210
240,다우기술,780679135800,023590
241,다이나믹디자인,91431107400,145210
242,대교,191428441000,019680
243,대교우B,32540208250,019685
244,대구백화점,108757190550,006370
245,대덕,204696506000,008060
246,대덕1우,8910823950,00806K
247,대덕전자,1220598047500,353200
248,대덕전자1우,20955190000,35320K
249,대동,242913393100,000490
250,대동전자,116443961700,008110
251,대림B&Co,63187789600,005750
252,대림통상,48263250000,006570
253,대상,724143722500,001680
254,대상우,21101434200,001685
255,대상홀딩스,260730273600,084690
256,대상홀딩스우,8961258420,084695
257,대성산업,182072798950,128820
258,대성에너지,343750000000,117580
259,대성홀딩스,1491492849300,016710
260,대신증권,710827600000,003540
261,대신증권2우B,131000000000,003547
262,대신증권우,352300000000,003545
263,대양금속,103858792440,009190
264,대영포장,144164750170,014160
265,대우건설,1735224513650,047040
266,대우부품,76234200000,009320
267,대우조선해양,2027793644100,042660
