,날짜,종가,등락율
0,2000-01-04,6110,0
1,2000-01-05,5580,-8.67
2,2000-01-06,5620,0.72
3,2000-01-07,5540,-1.42
4,2000-01-10,5770,4.15
5,2000-01-11,5770,0.0
6,2000-01-12,5720,-0.87
7,2000-01-13,5710,-0.17
8,2000-01-14,5830,2.1
9,2000-01-17,6100,4.63
10,2000-01-18,6100,0.0
11,2000-01-19,5960,-2.3
12,2000-01-20,6040,1.34
13,2000-01-21,5880,-2.65
14,2000-01-24,5700,-3.06
15,2000-01-25,5440,-4.56
16,2000-01-26,5480,0.74
17,2000-01-27,5520,0.73
18,2000-01-28,5820,5.43
19,2000-01-31,5580,-4.12
20,2000-02-01,5320,-4.66
21,2000-02-02,5250,-1.32
22,2000-02-03,5130,-2.29
23,2000-02-07,5240,2.14
24,2000-02-08,5430,3.63
25,2000-02-09,5720,5.34
26,2000-02-10,5760,0.7
27,2000-02-11,5700,-1.04
28,2000-02-14,5380,-5.61
29,2000-02-15,5200,-3.35
30,2000-02-16,5000,-3.85
31,2000-02-17,5080,1.6
32,2000-02-18,5300,4.33
33,2000-02-21,5070,-4.34
34,2000-02-22,5120,0.99
35,2000-02-23,5140,0.39
36,2000-02-24,5070,-1.36
37,2000-02-25,5120,0.99
38,2000-02-28,4800,-6.25
39,2000-02-29,5120,6.67
40,2000-03-02,5880,14.84
41,2000-03-03,6000,2.04
42,2000-03-06,5640,-6.0
43,2000-03-07,5620,-0.35
44,2000-03-08,5920,5.34
45,2000-03-09,5620,-5.07
46,2000-03-10,5540,-1.42
47,2000-03-13,5180,-6.5
48,2000-03-14,5210,0.58
49,2000-03-15,5400,3.65
50,2000-03-16,5400,0.0
51,2000-03-17,5480,1.48
52,2000-03-20,5660,3.28
53,2000-03-21,5880,3.89
54,2000-03-22,6200,5.44
55,2000-03-23,6200,0.0
56,2000-03-24,6800,9.68
57,2000-03-27,6800,0.0
58,2000-03-28,7030,3.38
59,2000-03-29,7660,8.96
60,2000-03-30,7050,-7.96
61,2000-03-31,6700,-4.96
62,2000-04-03,7100,5.97
63,2000-04-04,6800,-4.23
64,2000-04-06,6680,-1.76
65,2000-04-07,7200,7.78
66,2000-04-10,7300,1.39
67,2000-04-11,7100,-2.74
68,2000-04-12,6910,-2.68
69,2000-04-14,6260,-9.41
70,2000-04-17,5520,-11.82
71,2000-04-18,6040,9.42
72,2000-04-19,6000,-0.66
73,2000-04-20,6020,0.33
74,2000-04-21,6050,0.5
75,2000-04-24,5800,-4.13
76,2000-04-25,5640,-2.76
77,2000-04-26,5600,-0.71
78,2000-04-27,5400,-3.57
79,2000-04-28,6000,11.11
80,2000-05-02,6280,4.67
81,2000-05-03,6180,-1.59
82,2000-05-04,6180,0.0
83,2000-05-08,6560,6.15
84,2000-05-09,6370,-2.9
85,2000-05-10,6350,-0.31
86,2000-05-12,6160,-2.99
87,2000-05-15,6440,4.55
88,2000-05-16,6800,5.59
89,2000-05-17,6920,1.76
90,2000-05-18,6800,-1.73
91,2000-05-19,6900,1.47
92,2000-05-22,6670,-3.33
93,2000-05-23,6380,-4.35
94,2000-05-24,6200,-2.82
95,2000-05-25,6000,-3.23
96,2000-05-26,5600,-6.67
97,2000-05-29,5460,-2.5
98,2000-05-30,5800,6.23
99,2000-05-31,6160,6.21
100,2000-06-01,6300,2.27
101,2000-06-02,6620,5.08
102,2000-06-05,6740,1.81
103,2000-06-07,6800,0.89
104,2000-06-08,6530,-3.97
105,2000-06-09,7020,7.5
106,2000-06-12,7190,2.42
107,2000-06-13,7060,-1.81
108,2000-06-14,7640,8.22
109,2000-06-15,7000,-8.38
110,2000-06-16,6740,-3.71
111,2000-06-19,6700,-0.59
112,2000-06-20,7140,6.57
113,2000-06-21,7080,-0.84
114,2000-06-22,7040,-0.56
115,2000-06-23,7000,-0.57
116,2000-06-26,7210,3.0
117,2000-06-27,7310,1.39
118,2000-06-28,7520,2.87
119,2000-06-29,7490,-0.4
120,2000-06-30,7380,-1.47
121,2000-07-03,7500,1.63
122,2000-07-04,7350,-2.0
123,2000-07-05,7430,1.09
124,2000-07-06,7300,-1.75
125,2000-07-07,7360,0.82
126,2000-07-10,7600,3.26
127,2000-07-11,7450,-1.97
128,2000-07-12,7640,2.55
129,2000-07-13,7760,1.57
130,2000-07-14,7550,-2.71
131,2000-07-18,7460,-1.19
132,2000-07-19,7200,-3.49
133,2000-07-20,6900,-4.17
134,2000-07-21,6920,0.29
135,2000-07-24,6380,-7.8
136,2000-07-25,6280,-1.57
137,2000-07-26,6550,4.3
138,2000-07-27,6230,-4.89
139,2000-07-28,5730,-8.03
140,2000-07-31,5900,2.97
141,2000-08-01,6220,5.42
142,2000-08-02,6070,-2.41
143,2000-08-03,6030,-0.66
